Age,Education Level,Years of Experience,Salary
32.0,Bachelor's,5.0,90000.0
28.0,Master's,3.0,65000.0
45.0,PhD,15.0,150000.0
36.0,Bachelor's,7.0,60000.0
52.0,Master's,20.0,200000.0
29.0,Bachelor's,2.0,55000.0
42.0,Master's,12.0,120000.0
31.0,Bachelor's,4.0,80000.0
26.0,Bachelor's,1.0,45000.0
38.0,PhD,10.0,110000.0
29.0,Master's,3.0,75000.0
48.0,Bachelor's,18.0,140000.0
35.0,Bachelor's,6.0,65000.0
40.0,Master's,14.0,130000.0
27.0,Bachelor's,2.0,40000.0
44.0,Bachelor's,16.0,125000.0
33.0,Master's,7.0,90000.0
39.0,PhD,12.0,115000.0
25.0,Bachelor's,0.0,35000.0
51.0,Bachelor's,22.0,180000.0
34.0,Master's,5.0,80000.0
47.0,Master's,19.0,190000.0
30.0,Bachelor's,2.0,50000.0
36.0,Bachelor's,9.0,60000.0
41.0,Master's,13.0,140000.0
28.0,Bachelor's,3.0,45000.0
37.0,Master's,11.0,110000.0
24.0,Bachelor's,1.0,40000.0
43.0,PhD,15.0,140000.0
33.0,Master's,6.0,90000.0
50.0,Bachelor's,25.0,250000.0
31.0,Bachelor's,4.0,55000.0
29.0,Master's,3.0,75000.0
39.0,Bachelor's,10.0,65000.0
46.0,PhD,20.0,170000.0
27.0,Bachelor's,2.0,45000.0
35.0,Bachelor's,7.0,60000.0
42.0,Master's,14.0,115000.0
26.0,Bachelor's,1.0,40000.0
49.0,Bachelor's,21.0,160000.0
34.0,Master's,5.0,80000.0
48.0,Master's,18.0,190000.0
30.0,Bachelor's,3.0,60000.0
36.0,Bachelor's,8.0,45000.0
41.0,Master's,13.0,130000.0
28.0,Bachelor's,2.0,40000.0
32.0,Bachelor's,5.0,75000.0
45.0,Master's,16.0,180000.0
38.0,PhD,11.0,120000.0
25.0,Bachelor's,0.0,35000.0
51.0,Bachelor's,22.0,130000.0
33.0,Master's,7.0,85000.0
40.0,Bachelor's,12.0,60000.0
47.0,Master's,19.0,200000.0
29.0,Bachelor's,3.0,50000.0
36.0,Bachelor's,9.0,95000.0
27.0,Master's,2.0,65000.0
43.0,PhD,17.0,140000.0
30.0,Bachelor's,4.0,55000.0
35.0,Master's,7.0,105000.0
51.0,Master's,23.0,170000.0
29.0,Bachelor's,3.0,50000.0
40.0,Bachelor's,12.0,80000.0
47.0,PhD,21.0,180000.0
26.0,Bachelor's,1.0,35000.0
38.0,Master's,10.0,90000.0
46.0,Bachelor's,19.0,120000.0
31.0,Bachelor's,5.0,45000.0
34.0,Master's,8.0,90000.0
49.0,Master's,18.0,150000.0
33.0,Bachelor's,6.0,65000.0
39.0,Bachelor's,11.0,70000.0
45.0,PhD,16.0,190000.0
28.0,Bachelor's,2.0,40000.0
42.0,Master's,14.0,120000.0
37.0,Bachelor's,10.0,95000.0
50.0,Bachelor's,22.0,160000.0
32.0,Master's,6.0,100000.0
48.0,Master's,20.0,180000.0
30.0,Bachelor's,3.0,55000.0
36.0,Bachelor's,8.0,70000.0
41.0,Master's,13.0,80000.0
25.0,Bachelor's,0.0,30000.0
52.0,PhD,24.0,250000.0
29.0,Bachelor's,2.0,40000.0
34.0,Master's,10.0,95000.0
27.0,Bachelor's,2.0,45000.0
40.0,Bachelor's,15.0,80000.0
46.0,Master's,21.0,135000.0
31.0,Bachelor's,6.0,55000.0
36.0,PhD,11.0,120000.0
29.0,Bachelor's,3.0,40000.0
43.0,Bachelor's,18.0,105000.0
52.0,Master's,25.0,170000.0
33.0,Bachelor's,7.0,75000.0
39.0,Bachelor's,12.0,65000.0
47.0,PhD,22.0,160000.0
26.0,Bachelor's,1.0,35000.0
38.0,Master's,10.0,90000.0
45.0,Bachelor's,20.0,110000.0
31.0,Bachelor's,5.0,45000.0
35.0,Master's,8.0,95000.0
49.0,Master's,19.0,150000.0
33.0,Bachelor's,5.0,50000.0
39.0,Master's,13.0,80000.0
44.0,PhD,16.0,220000.0
30.0,Bachelor's,3.0,50000.0
36.0,Bachelor's,7.0,60000.0
41.0,Master's,14.0,100000.0
28.0,Bachelor's,2.0,40000.0
42.0,Master's,15.0,110000.0
37.0,Bachelor's,9.0,95000.0
50.0,Bachelor's,22.0,130000.0
32.0,Master's,6.0,90000.0
23.0,Bachelor's,0.5,35000.0
31.0,Master's,6.0,95000.0
40.0,Bachelor's,15.0,65000.0
48.0,PhD,20.0,170000.0
29.0,Bachelor's,3.0,45000.0
35.0,Master's,10.0,120000.0
42.0,Bachelor's,17.0,100000.0
53.0,Master's,25.0,180000.0
33.0,Bachelor's,5.0,50000.0
38.0,Bachelor's,11.0,80000.0
44.0,PhD,16.0,140000.0
26.0,Bachelor's,2.0,40000.0
37.0,Master's,9.0,95000.0
45.0,Bachelor's,18.0,110000.0
32.0,Bachelor's,4.0,50000.0
34.0,Master's,8.0,105000.0
50.0,Master's,21.0,160000.0
29.0,Bachelor's,3.0,45000.0
40.0,Master's,12.0,100000.0
47.0,PhD,22.0,160000.0
